,坐席平均聊天时长,平均拨号间隔,进线时长,坐席忙占比,呼叫间隔,呼损率,模拟客户数量,实验结束时间
0,26.320810220779215,6.0,13.228589907894744,66.8%,6,64.2%,500,2022-06-28 15:49:54.392401
1,27.87317704545454,8.0,18.278219701149435,60.7%,8,57.7%,500,2022-06-28 15:49:55.253805
2,25.86783292982456,10.0,18.46704425663717,58.6%,10,43.3%,500,2022-06-28 15:49:56.196818
3,27.431682180327865,12.0,21.98792704958678,55.7%,12,43.8%,500,2022-06-28 15:49:57.013859
4,27.761562625,14.0,27.452010031496066,50.5%,14,42.1%,500,2022-06-28 15:49:57.846160
5,26.87080808333334,16.0,34.07815986259541,44.3%,16,35.0%,500,2022-06-28 15:49:58.642543
6,28.25122291791045,18.0,39.20508566165414,42.1%,18,33.3%,500,2022-06-28 15:49:59.443855
7,26.43846054304635,20.0,40.26084463333334,39.8%,20,21.4%,500,2022-06-28 15:50:00.240492
8,25.98812849006621,22.0,46.65606866000001,35.9%,22,23.7%,500,2022-06-28 15:50:01.168605
9,27.719716934131743,24.0,44.25934590361445,38.7%,24,22.7%,500,2022-06-28 15:50:01.999097
10,26.93580489204545,26.0,47.11867361142857,36.5%,26,21.8%,500,2022-06-28 15:50:02.846242
11,27.080584407608704,28.0,49.9149111092896,35.3%,28,20.3%,500,2022-06-28 15:50:03.739778
12,25.907535106145257,30.0,58.28455951123595,30.9%,30,14.8%,500,2022-06-28 15:50:04.543322
13,26.170412763157884,32.0,58.05388226455028,31.2%,32,9.5%,500,2022-06-28 15:50:05.374293
14,26.829976351955306,34.0,69.02746160674158,28.1%,34,9.6%,500,2022-06-28 15:50:06.143569
15,26.211146737967926,36.0,71.0210431344086,27.1%,36,7.9%,500,2022-06-28 15:50:06.943935
16,26.963066968253973,38.0,74.5888264255319,26.7%,38,7.4%,500,2022-06-28 15:50:07.742213
17,27.04130611616163,40.0,73.91807788832486,26.9%,40,6.2%,500,2022-06-28 15:50:08.550162
18,26.11057814485981,42.0,72.47779589201879,26.6%,42,3.6%,500,2022-06-28 15:50:09.393285
19,27.450021079207936,44.0,81.9189460646766,25.2%,44,2.4%,500,2022-06-28 15:50:10.207878
20,26.602481767123287,46.0,78.79042427981652,25.3%,46,2.7%,500,2022-06-28 15:50:11.215157
21,26.98313178282829,48.0,94.24598146192892,22.3%,48,1.5%,500,2022-06-28 15:50:12.002066
22,26.87005666341466,50.0,94.56672645588233,22.2%,50,1.4%,500,2022-06-28 15:50:12.805221
23,27.61890608717949,52.0,103.06720003092784,21.2%,52,1.5%,500,2022-06-28 15:50:13.617626
24,26.405446180952392,54.0,102.67340328229663,20.5%,54,0.0%,500,2022-06-28 15:50:14.428297
25,26.34763780090497,56.0,100.27856911363637,20.9%,56,0.0%,500,2022-06-28 15:50:15.295016
26,26.381642039215695,58.0,116.64868734975369,18.5%,58,0.0%,500,2022-06-28 15:50:16.248869
